;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 30/05/2013 11:06:06
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2A4C      	GOTO       588
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x1683      	BSF        STATUS, 5
0x0008	0x00C5      	MOVWF      ___saveSTATUS
0x0009	0x080A      	MOVF       PCLATH, 0
0x000A	0x00C4      	MOVWF      ___savePCLATH
0x000B	0x018A      	CLRF       PCLATH
0x000C	0x0870      	MOVF       R0, 0
0x000D	0x1283      	BCF        STATUS, 5
0x000E	0x00A2      	MOVWF      34
0x000F	0x087C      	MOVF       R12, 0
0x0010	0x00A1      	MOVWF      33
0x0011	0x087D      	MOVF       R13, 0
0x0012	0x00A0      	MOVWF      32
0x0013	0x0804      	MOVF       FSR, 0
0x0014	0x00A3      	MOVWF      35
;home_automation.c,35 :: 		void interrupt()
;home_automation.c,39 :: 		short k=0, j;
0x0015	0x1683      	BSF        STATUS, 5
0x0016	0x01E3      	CLRF       interrupt_k_L0
;home_automation.c,40 :: 		do {
L_interrupt0:
;home_automation.c,41 :: 		while(!UART1_Data_Ready());
L_interrupt3:
0x0017	0x220F      	CALL       _UART1_Data_Ready
0x0018	0x0870      	MOVF       R0, 0
0x0019	0x1D03      	BTFSS      STATUS, 2
0x001A	0x281C      	GOTO       L_interrupt4
0x001B	0x2817      	GOTO       L_interrupt3
L_interrupt4:
;home_automation.c,42 :: 		delimiter_[1]=delimiter_[0];
0x001C	0x1683      	BSF        STATUS, 5
0x001D	0x084C      	MOVF       interrupt_delimiter__L0, 0
0x001E	0x00CD      	MOVWF      interrupt_delimiter__L0+1
;home_automation.c,43 :: 		delimiter_[0]=UART1_Read();
0x001F	0x2216      	CALL       _UART1_Read
0x0020	0x0870      	MOVF       R0, 0
0x0021	0x1683      	BSF        STATUS, 5
0x0022	0x00CC      	MOVWF      interrupt_delimiter__L0
;home_automation.c,44 :: 		txt[k]=delimiter_[0];
0x0023	0x0863      	MOVF       interrupt_k_L0, 0
0x0024	0x3ECE      	ADDLW      interrupt_txt_L0
0x0025	0x0084      	MOVWF      FSR
0x0026	0x0870      	MOVF       R0, 0
0x0027	0x0080      	MOVWF      INDF
;home_automation.c,45 :: 		k++;
0x0028	0x0AE3      	INCF       interrupt_k_L0, 1
;home_automation.c,46 :: 		if((delimiter_[0]== 0x4E && delimiter_[1]==0x4F) || (delimiter_[0]==0x46  && delimiter_[1]==0x46) || k>5)
0x0029	0x084C      	MOVF       interrupt_delimiter__L0, 0
0x002A	0x3A4E      	XORLW      78
0x002B	0x1D03      	BTFSS      STATUS, 2
0x002C	0x2832      	GOTO       L__interrupt45
0x002D	0x084D      	MOVF       interrupt_delimiter__L0+1, 0
0x002E	0x3A4F      	XORLW      79
0x002F	0x1D03      	BTFSS      STATUS, 2
0x0030	0x2832      	GOTO       L__interrupt45
0x0031	0x2844      	GOTO       L__interrupt43
L__interrupt45:
0x0032	0x084C      	MOVF       interrupt_delimiter__L0, 0
0x0033	0x3A46      	XORLW      70
0x0034	0x1D03      	BTFSS      STATUS, 2
0x0035	0x283B      	GOTO       L__interrupt44
0x0036	0x084D      	MOVF       interrupt_delimiter__L0+1, 0
0x0037	0x3A46      	XORLW      70
0x0038	0x1D03      	BTFSS      STATUS, 2
0x0039	0x283B      	GOTO       L__interrupt44
0x003A	0x2844      	GOTO       L__interrupt43
L__interrupt44:
0x003B	0x3080      	MOVLW      128
0x003C	0x3A05      	XORLW      5
0x003D	0x00F0      	MOVWF      R0
0x003E	0x3080      	MOVLW      128
0x003F	0x0663      	XORWF      interrupt_k_L0, 0
0x0040	0x0270      	SUBWF      R0, 0
0x0041	0x1C03      	BTFSS      STATUS, 0
0x0042	0x2844      	GOTO       L__interrupt43
0x0043	0x2845      	GOTO       L_interrupt11
L__interrupt43:
;home_automation.c,47 :: 		break;
0x0044	0x2846      	GOTO       L_interrupt1
L_interrupt11:
;home_automation.c,48 :: 		} while(1);
0x0045	0x2817      	GOTO       L_interrupt0
L_interrupt1:
;home_automation.c,49 :: 		RCIF_bit=0;
0x0046	0x1283      	BCF        STATUS, 5
0x0047	0x128C      	BCF        RCIF_bit, 5
;home_automation.c,50 :: 		delay_ms(20);
0x0048	0x3034      	MOVLW      52
0x0049	0x00FC      	MOVWF      R12
